,ID,Strain,Age,Weight,mediantemps,Date,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
189,shh_15.5_18_257_DAC,DUHi,15.5,257,14.901,7/24/2014,DAC,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,257DAC
207,shh_15.0_16_257_FAA,FVB,15,257,15.022,4/29/2015,FAA,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,257FAA
208,shh_15.0_17_258_FAA,FVB,15,258,15.184,5/27/2015,FAA,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,258FAA
93,shh_15.0_06_259_FD,FVB,15,259,15.172,5/27/2015,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,259FD
96,shh_15.0_08_259_FD,FVB,15,259,14.909,7/24/2014,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,259FD
73,shh_15.0_11_262_DK,DUHi,15,262,14.918,7/24/2014,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,262DK
103,shh_14.5_11_263_DI,DUHi,14.5,263,15.004,3/13/2014,DI,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,263DI
44,shh_15.0_02_265_DK,DUHi,15,265,14.785,03/04/14,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,265DK
69,shh_16.5_02_271_DW,DUHi,16.5,271,15.018,3/13/2014,DW,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,271DW
109,shh_15.0_03_273_FD,FVB,15,273,16.159,9/25/2014,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,273FD
98,shh_15.0_15_285_DK,DUHi,15,285,15.026,7/24/2014,DK,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,285DK
94,shh_15.0_07_285_FD,FVB,15,285,15.141,3/13/2014,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,285FD
61,shh_15.5_07_290_DV,DUHi,15.5,290,15.105,7/24/2014,DV,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,290DV
209,shh_14.5_26_290_FW,FVB,14.5,290,15.108,7/24/2014,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,290FW
78,shh_15.0_12_293_DK,DUHi,15,293,15.265,10/23/2014,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,293DK
45,shh_15.0_03_294_DK,DUHi,15,294,14.353,05/12/15,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,294DK
47,shh_15.0_08_294_DK,DUHi,15,294,15.194,3/13/2014,DK,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,294DK
193,shh_14.5_16_310_FW,FVB,14.5,310,15.204,3/13/2014,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,310FW
194,shh_14.5_17_325_FW,FVB,14.5,325,14.492,05/12/15,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,325FW
197,shh_14.5_20_332_FS,FVB,14.5,332,14.585,05/12/15,FS,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,332FS
80,shh_15.5_11_340_DV,DUHi,15.5,340,14.5,4/28/2015,DV,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,340DV
195,shh_14.5_18_340_FW,FVB,14.5,340,15.546,10/23/2014,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,340FW
198,shh_14.5_21_344_FS,FVB,14.5,344,14.676,05/12/15,FS,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,344FS
196,shh_14.5_19_349_FW,FVB,14.5,349,14.559,4/28/2015,FW,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,349FW
186,shh_15.5_17_353_DAC,DUHi,15.5,353,14.73,05/12/15,DAC,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,353DAC
199,shh_14.5_22_353_FS,FVB,14.5,353,15.568,4/29/2015,FS,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,y,325,353FS
81,shh_15.5_12_355_DV,DUHi,15.5,355,14.616,4/28/2015,DV,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,355DV
