,ID,Strain,ident,Age,Weight,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
65,shh_16.5_01_246_W,DUHi,241,16.5,246,DW,0,2,0,1,0,1,0_2_1_1,235_0_2_1_1,-,235,246DW
71,shh_16.5_02_271_W,DUHi,242,16.5,271,DW,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,271DW
183,shh_13.5_09_99_DZ,DUHi,37,13.5,99,DZ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,99DZ
87,shh_13.5_10_110_DZ,DUHi,40,13.5,110,DZ,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,110DZ
45,shh_13.5_11_135_DZ,DUHi,45,13.5,135,DZ,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,135DZ
97,shh_13.5_13_107_DZ,DUHi,38,13.5,107,DZ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,107DZ
100,shh_13.5_14_112_DZ,DUHi,42,13.5,112,DZ,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,y,120,112DZ
130,shh_13.5_01_124_A,FVB,278,13.5,124,FA,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,y,120,124FA
135,shh_13.5_02_127_A,FVB,280,13.5,127,FA,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,y,120,127FA
136,shh_13.5_03_143_A,FVB,283,13.5,143,FA,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,143FA
134,shh_13.5_04_125_A,FVB,279,13.5,125,FA,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,-,120,125FA
171,shh_15.0_10_151_FAA,FVB,484,15,151,FAA,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,y,168,151FAA
158,shh_15.0_11_229_FAA,FVB,485,15,229,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,229FAA
159,shh_15.0_12_236_FAA,FVB,486,15,236,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,236FAA
160,shh_15.0_13_241_FAA,FVB,487,15,241,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,241FAA
161,shh_15.0_14_248_FAA,FVB,488,15,248,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,248FAA
162,shh_15.0_15_249_FAA,FVB,489,15,249,FAA,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,249FAA
