"","ID","Strain","Age","Weight","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","X","Age.dpc.","Date","Strain","Weight","Litter","Weekday","indata","mediantemps","bornemin","bornemax","nid"
"5","shh_14.0_07_143_DR","DUHi",14,143,"DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DR",87,14,"10/14/2014","DUHi",142,"DU",3,TRUE,14.237,13.791,14.673,"142DU"
"175","shh_13.5_03_143_FA","FVB",13.5,143,"FA",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"143FA",69,14,"7/17/2014","DUHi",143,"DF",5,TRUE,14.202,13.731,14.644,"143DF"
"124","shh_14.0_16_144_DR","DUHi",14,144,"DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","-",145,"144DR",70,14,"7/17/2014","DUHi",143,"DF",5,TRUE,14.188,13.736,14.634,"143DF"
"182","shh_14.0_09_148_FJ","FVB",14,148,"FJ",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"148FJ",74,14,"7/30/2014","DUHi",143,"DR",4,TRUE,13.98,13.489,14.476,"143DR"
"202","shh_15.0_10_151_FAA","FVB",15,151,"FAA",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"151FAA",290,13.5,"7/17/2014","FVB",143,"FA",5,TRUE,13.655,13.151,14.213,"143FA"
"123","shh_14.0_11_157_DF","DUHi",14,157,"DF",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"157DF",75,14,"7/30/2014","DUHi",144,"DR",4,TRUE,13.988,13.504,14.478,"144DR"
"158","shh_14.0_10_159_FJ","FVB",14,159,"FJ",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"159FJ",380,14,"12/08/14","FVB",148,"FJ",2,TRUE,14.031,13.51,14.563,"148FJ"
"26","shh_14.0_17_161_DR","DUHi",14,161,"DR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161DR",491,15,"5/27/2015","FVB",151,"FAA",4,TRUE,14.131,13.621,14.651,"151FAA"
"32","shh_14.5_10_161_FR","FVB",14.5,161,"FR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161FR",71,14,"7/17/2014","DUHi",157,"DF",5,TRUE,14.347,13.892,14.81,"157DF"
"28","shh_14.5_14_163_DH","DUHi",14.5,163,"DH",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"163DH",382,14,"12/08/14","FVB",159,"FJ",2,TRUE,14.178,13.642,14.69,"159FJ"
"159","shh_14.5_11_163_FR","FVB",14.5,163,"FR",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"163FR",77,14,"7/30/2014","DUHi",161,"DR",4,TRUE,14.19,13.705,14.686,"161DR"
"176","shh_14.0_01_163-167_FB","FVB",14,165,"FB",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"165FB",455,14.5,"03/04/15","FVB",161,"FR",4,TRUE,14.251,13.734,14.774,"161FR"
"178","shh_14.0_03_163-167_FB","FVB",14,165,"FB",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"165FB",122,14.5,"1/22/2014","DUHi",163,"DH",4,TRUE,13.989,13.548,14.432,"163DH"
"179","shh_14.0_04_163-167_FB","FVB",14,165,"FB",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"165FB",457,14.5,"03/04/15","FVB",163,"FR",4,TRUE,14.276,13.761,14.795,"163FR"
"115","shh_14.0_08_169_DR","DUHi",14,169,"DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"169DR",374,14,"05/06/14","FVB",165,"FB",3,TRUE,13.96,13.452,14.444,"165FB"
"29","shh_14.0_24_177_DAA","DUHi",14,177,"DAA",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"177DAA",78,14,"7/30/2014","DUHi",169,"DR",4,TRUE,14.273,13.791,14.781,"169DR"
"213","shh_14.5_24_178_DI","DUHi",14.5,178,"DI",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"178DI",52,14,"05/12/14","DUHi",177,"DAA",2,TRUE,14.558,14.067,15.045,"177DAA"
"136","shh_14.5_01_178_FC","FVB",14.5,178,"FC",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"178FC",134,14.5,"03/04/14","DUHi",178,"DI",3,TRUE,14.092,13.653,14.537,"178DI"
"226","shh_14.5_28_184_FQ","FVB",14.5,184,"FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","y",199,"184FQ",412,14.5,"4/23/2014","FVB",178,"FC",4,TRUE,14.258,13.745,14.775,"178FC"
"227","shh_14.5_29_185_FQ","FVB",14.5,185,"FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"185FQ",449,14.5,"2/26/2015","FVB",184,"FQ",5,TRUE,14.5,13.998,14.981,"184FQ"
"183","shh_14.5_21_186_DAD","DUHi",14.5,186,"DAD",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","y",179,"186DAD",450,14.5,"2/26/2015","FVB",185,"FQ",5,TRUE,14.508,14.01,15.001,"185FQ"
"133","shh_15.0_09_186_DJ","DUHi",15,186,"DJ",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"186DJ",93,14.5,"4/30/2015","DUHi",186,"DAD",5,TRUE,14.35,13.845,14.9,"186DAD"
"228","shh_14.5_30_189_FQ","FVB",14.5,189,"FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"189FQ",162,15,"1/30/2014","DUHi",186,"DJ",5,TRUE,14.77,14.329,15.211,"186DJ"
"192","shh_14.5_14_190_FZ","FVB",14.5,190,"FZ",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","y",227,"190FZ",452,14.5,"2/26/2015","FVB",189,"FQ",5,TRUE,14.551,14.043,15.067,"189FQ"
"184","shh_14.5_22_191_DAD","DUHi",14.5,191,"DAD",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","y",179,"191DAD",482,14.5,"5/13/2015","FVB",190,"FZ",4,TRUE,14.358,13.843,14.881,"190FZ"
