	Age(dpc)	Date	Strain	Weight	Litter	Weekday
438	13.5	11/19/2014	DUHi	107	DZ	4
439	13.5	11/19/2014	DUHi	109	DZ	4
440	13.5	11/19/2014	DUHi	110	DZ	4
441	13.5	11/19/2014	DUHi	111	DZ	4
442	13.5	11/19/2014	DUHi	112	DZ	4
443	13.5	11/19/2014	DUHi	114	DZ	4
444	13.5	11/19/2014	DUHi	121	DZ	4
445	13.5	11/19/2014	DUHi	135	DZ	4
446	14	5/12/2014	DUHi	79	DAA	2
447	14	5/12/2014	DUHi	122	DAA	2
448	14	5/12/2014	DUHi	125	DAA	2
449	14	5/12/2014	DUHi	126	DAA	2
450	14	5/12/2014	DUHi	141	DAA	2
451	14	5/12/2014	DUHi	142	DAA	2
452	14	5/12/2014	DUHi	177	DAA	2
453	14	1/20/2014	DUHi	69	DD	2
454	14	1/20/2014	DUHi	93	DD	2
455	14	1/20/2014	DUHi	101	DD	2
456	14	1/20/2014	DUHi	98	DD	2
457	14	1/20/2014	DUHi	116	DD	2
458	14	1/20/2014	DUHi	128	DD	2
459	14	1/20/2014	DUHi	128	DD	2
460	14	1/20/2014	DUHi	141	DD	2
461	14	3/18/2014	DUHI	69	DE	3
462	14	3/18/2014	DUHI	92	DE	3
463	14	3/18/2014	DUHI	144	DE	3
464	14	3/18/2014	DUHI	150	DE	3
465	14	3/18/2014	DUHI	150	DE	3
466	14	3/18/2014	DUHI	151	DE	3
467	14	3/18/2014	DUHI	152	DE	3
468	14	3/18/2014	DUHI	156	DE	3
469	14	3/18/2014	DUHI	161	DE	3
470	14	3/18/2014	DUHI	166	DE	3
471	14	7/17/2014	DUHi	97	DF	5
472	14	7/17/2014	DUHi	98	DF	5
473	14	7/17/2014	DUHi	105	DF	5
474	14	7/17/2014	DUHi	124	DF	5
475	14	7/17/2014	DUHi	128	DF	5
476	14	7/17/2014	DUHi	139	DF	5
477	14	7/17/2014	DUHi	139	DF	5
478	14	7/17/2014	DUHi	140	DF	5
479	14	7/17/2014	DUHi	143	DF	5
480	14	7/17/2014	DUHi	143	DF	5
481	14	7/17/2014	DUHi	157	DF	5
482	14	7/30/2014	DUHi	117	DR	4
483	14	7/30/2014	DUHi	139	DR	4
484	14	7/30/2014	DUHi	143	DR	4
485	14	7/30/2014	DUHi	144	DR	4
486	14	7/30/2014	DUHi	149	DR	4
487	14	7/30/2014	DUHi	161	DR	4
488	14	7/30/2014	DUHi	169	DR	4
489	14	10/14/2014	DUHi	68	DU	3
490	14	10/14/2014	DUHi	91	DU	3
491	14	10/14/2014	DUHi	94	DU	3
492	14	10/14/2014	DUHi	98	DU	3
493	14	10/14/2014	DUHi	113	DU	3
494	14	10/14/2014	DUHi	119	DU	3
495	14	10/14/2014	DUHi	125	DU	3
